book_id,url,title,author,avg_rating,ratings_count,reviews_count,isbn,pages,publisher,genres,scraped_at
1,https://www.goodreads.com/book/show/1,Harry Potter and the Half-Blood Prince,J.K. Rowling,4.58,"3,562,057","67,025",,652,,,2025-07-26T08:57:53.993667
2,https://www.goodreads.com/book/show/2,Harry Potter and the Order of the Phoenix,J.K. Rowling,4.50,"3,689,566","74,062",,870,,,2025-07-26T08:57:57.051244
3,https://www.goodreads.com/book/show/3,Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.47,"11,059,533","184,262",,309,,,2025-07-26T08:57:59.054504
4,https://www.goodreads.com/book/show/4,Harry Potter and the Chamber of Secrets,J.K. Rowling,4.43,"4,347,294","92,125",,352,,,2025-07-26T08:58:02.578110
5,https://www.goodreads.com/book/show/5,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.58,"4,675,297","97,539",,435,,,2025-07-26T08:58:04.964076
6,https://www.goodreads.com/book/show/6,Harry Potter and the Goblet of Fire,J.K. Rowling,4.57,"4,067,779","80,541",,734,,,2025-07-26T08:58:06.905135
7,https://www.goodreads.com/book/show/7,The Harry Potter Collection,J.K. Rowling,4.72,"34,541",993,,Paperback,,,2025-07-26T08:58:09.391781
8,https://www.goodreads.com/book/show/8,"Harry Potter Boxed Set, Books 1-5",J.K. Rowling,4.71,"170,591",348,,2690,,,2025-07-26T08:58:12.546613
9,https://www.goodreads.com/book/show/9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,4.11,64,1,,152,,,2025-07-26T08:58:13.935786
10,https://www.goodreads.com/book/show/10,Harry Potter Collection,J.K. Rowling,4.72,"34,541",993,,3342,,,2025-07-26T08:58:16.681978
11,https://www.goodreads.com/book/show/11,The Hitchhiker’s Guide to the Galaxy,Douglas Adams,4.22,"1,969,348","53,040",,216,,,2025-07-26T08:58:16.738393
12,https://www.goodreads.com/book/show/12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,Douglas Adams,4.38,"334,596","6,721",,815,,,2025-07-26T08:58:16.782288
13,https://www.goodreads.com/book/show/13,The Ultimate Hitchhiker’s Guide to the Galaxy,Douglas Adams,4.38,"334,596","6,721",,815,,,2025-07-26T08:58:16.819412
14,https://www.goodreads.com/book/show/14,The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.22,"1,969,348","53,040",,215,,,2025-07-26T08:58:16.863657
15,https://www.goodreads.com/book/show/15,The Hitchhiker's Guide to Lean: Lessons from the Road,Jamie Flinchbaugh,3.82,102,5,,216,,,2025-07-26T08:58:16.876138
16,https://www.goodreads.com/book/show/16,The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.22,"1,969,348","53,040",,6,,,2025-07-26T08:58:16.919449
